NO,JUDUL BERITA,ISI BERITA,KATEGORI,TANGGAL UPLOAD,TAUTAN,clean_text,Cluster
98,Presiden Prabowo Hadiri Malam Penutupan Kongres PSI 2025 di Solo,"Presiden Prabowo Subianto menghadiri malam penutupan Kongres Partai Solidaritas Indonesia (PSI) 2025 yang diselenggarakan di Solo. Kehadiran Presiden menunjukkan dukungan terhadap partai politik yang berkomitmen pada reformasi dan isu kepemudaan. Dalam pidatonya, Presiden menekankan pentingnya peran anak muda dalam politik dan pembangunan bangsa. Acara ini menjadi momentum konsolidasi politik.",Politik,2025-11-01 00:00:00,Prabowo Hadiri Malam Penutupan Kongres PSI 2025 di Solo,presiden prabowo subianto hadir malam tutup kongres partai solidaritas indonesia psi selenggara solo hadir presiden tunjuk dukung partai politik komitmen reformasi isu pemuda pidato presiden tekan penting peran anak muda politik bangun bangsa acara jadi momentum konsolidasi politik,1
99,Pelaku Pencabulan Balita di Sukabumi Ditangkap Setelah Buron Lima Bulan,"Kepolisian berhasil menangkap pelaku pencabulan terhadap seorang balita di Sukabumi, Jawa Barat, setelah buron selama kurang lebih lima bulan. Penangkapan ini merupakan hasil kerja keras tim gabungan dalam memburu pelaku. Polisi memastikan akan menjerat pelaku dengan undang-undang perlindungan anak. Kasus ini menyoroti pentingnya perlindungan anak dari kejahatan seksual.",Hukum & Kriminal,2025-11-01 00:00:00,Pelaku Pencabulan Balita di Sukabumi Ditangkap Setelah Buron Lima Bulan,polisi hasil tangkap laku cabul orang balita sukabumi jawa barat buron lama kurang lebih lima bulan tangkap rupa hasil kerja keras tim gabung buru laku polisi pasti jerat laku undang undang lindung anak kasus sorot penting lindung anak jahat seksual,4
100,Menparekraf Dorong Pengembangan Destinasi Wisata Selancar Lombok Barat,"Menteri Pariwisata dan Ekonomi Kreatif (Menparekraf) mendorong pengembangan destinasi wisata selancar di Lombok Barat, Nusa Tenggara Barat (NTB). Pengembangan ini diharapkan dapat menarik wisatawan mancanegara dan meningkatkan ekonomi lokal. Kemenparekraf akan memberikan dukungan promosi dan peningkatan infrastruktur pendukung. Lombok Barat memiliki potensi besar sebagai destinasi surfing kelas dunia.",Pariwisata & Ekonomi,31 Oktober 2025,Lombok Barat kembangkan destinasi wisata selancar,menteri pariwisata ekonomi kreatif menparekraf dorong kembang destinasi wisata selancar lombok barat nusa tenggara barat ntb kembang harap tarik wisatawan mancanegara tingkat ekonomi lokal kemenparekraf beri dukung promosi tingkat infrastruktur dukung lombok barat milik potensi besar destinasi surfing kelas dunia,2
101,Menteri BUMN Targetkan 5 BUMN Masuk Daftar 100 Perusahaan Terbesar Global,"Menteri BUMN Erick Thohir menargetkan minimal lima perusahaan BUMN Indonesia mampu masuk dalam daftar 100 perusahaan terbesar dunia (Global Top 100) pada tahun mendatang. Target ambisius ini didukung melalui restrukturisasi, efisiensi operasional, dan transformasi digital besar-besaran. Erick menekankan pentingnya BUMN menjadi pemain kunci di pasar global dan tidak hanya di dalam negeri. Transformasi ini untuk meningkatkan nilai aset negara.",Ekonomi & BUMN,30 Oktober 2025,Erick Thohir Targetkan 5 BUMN Masuk Daftar 100 Perusahaan Terbesar Global,menteri bumn erick thohir target minimal lima usaha bumn indonesia mampu masuk daftar usaha besar dunia global top tahun datang target ambisius dukung lalu restrukturisasi efisiensi operasional transformasi digital besar besar erick tekan penting bumn jadi main kunci pasar global negeri transformasi tingkat nilai aset negara,6
102,Kementerian LHK Luncurkan Program Carbon Offset untuk Industri Pariwisata,"Kementerian Lingkungan Hidup dan Kehutanan (LHK) meluncurkan program Carbon Offset yang menargetkan industri pariwisata, terutama hotel dan resor. Program ini mendorong pelaku pariwisata mengimbangi emisi karbon mereka melalui penanaman pohon dan restorasi hutan. Inisiatif ini adalah bagian dari upaya pemerintah mewujudkan pariwisata yang berkelanjutan dan ramah lingkungan. Diharapkan sektor pariwisata dapat berkontribusi pada target iklim nasional.",Lingkungan & Pariwisata,2025-11-01 00:00:00,Kementerian LHK Luncurkan Program Carbon Offset untuk Industri Pariwisata,menteri lingkung hidup hutan lhk luncur program carbon offset target industri pariwisata utama hotel resor program dorong laku pariwisata imbang emisi karbon lalu tanam pohon restorasi hutan inisiatif bagi upaya perintah wujud pariwisata lanjut ramah lingkung harap sektor pariwisata kontribusi target iklim nasional,3
103,Perindo Minta Kader Bekerja untuk Rakyat Tanpa Tunggu Dapat Jabatan Politik,Ketua Umum Partai Perindo meminta seluruh kader partainya untuk terus bekerja keras melayani masyarakat tanpa harus menunggu mendapatkan jabatan politik. Pesan ini disampaikan dalam rangka HUT Perindo ke-11 sebagai penekanan pada fokus kerja nyata di lapangan. Perindo menegaskan komitmen untuk membangun kepercayaan publik dari tingkat bawah. Soliditas internal menjadi kunci menghadapi Pemilu 2029.,Politik,2025-11-02 00:00:00,Perindo Minta Kader Bekerja untuk Rakyat Tanpa Tunggu Dapat Jabatan Politik,ketua umum partai perindo minta seluruh kader partai terus kerja keras layan masyarakat tunggu dapat jabat politik pesan sampai rangka hut perindo tekan fokus kerja nyata lapang perindo tegas komitmen bangun percaya publik tingkat bawah soliditas internal jadi kunci hadap milu,1
104,Satgas TPPO Polri Selamatkan Puluhan Korban PMI Ilegal di Malaysia,"Satuan Tugas Tindak Pidana Perdagangan Orang (Satgas TPPO) Polri berhasil menyelamatkan puluhan Pekerja Migran Indonesia (PMI) yang menjadi korban perdagangan orang di Malaysia. Para korban dijanjikan pekerjaan layak, namun faktanya dieksploitasi tanpa perlindungan. Satgas TPPO bekerja sama dengan KBRI dan Polisi Diraja Malaysia untuk memulangkan korban. Penyelidikan terhadap sindikat perekrut ilegal masih terus dilakukan.",Hukum & Sosial,31 Oktober 2025,Satgas TPPO Polri Selamatkan Puluhan Korban PMI Ilegal di Malaysia,satu tugas tindak pidana dagang orang satgas tppo polri hasil selamat puluh kerja migran indonesia pmi jadi korban dagang orang malaysia korban janji kerja layak fakta eksploitasi lindung satgas tppo kerja sama kbri polisi diraja malaysia pulang korban lidi sindikat rekrut ilegal terus laku,4
105,Menko PMK Ajak Seluruh Pemda Percepat Penurunan Stunting,Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan (Menko PMK) kembali menyerukan kepada seluruh pemerintah daerah (Pemda) untuk mempercepat upaya penurunan angka stunting. Menko PMK menekankan pentingnya intervensi spesifik dan sensitif sejak 1.000 hari pertama kehidupan. Penurunan stunting menjadi program prioritas nasional untuk menciptakan generasi emas Indonesia. Koordinasi lintas sektor harus diperkuat di tingkat daerah.,Sosial & Kesehatan,30 Oktober 2025,Menko PMK Ajak Seluruh Pemda Percepat Penurunan Stunting,menteri koordinator bidang bangun manusia budaya menko pmk seru seluruh perintah daerah pemda cepat upaya turun angka stunting menko pmk tekan penting intervensi spesifik sensitif sejak hari pertama hidup turun stunting jadi program prioritas nasional cipta generasi emas indonesia koordinasi lintas sektor kuat tingkat daerah,9
106,Pemerintah Bahas Pengenaan Cukai Minuman Berpemanis Dalam Kemasan (MBDK),"Pemerintah, melalui Kementerian Keuangan, tengah kembali membahas rencana pengenaan cukai terhadap Minuman Berpemanis Dalam Kemasan (MBDK). Kebijakan ini bertujuan untuk mengendalikan konsumsi gula yang berlebihan di masyarakat, yang berisiko memicu penyakit tidak menular. Namun, kajian ini juga mempertimbangkan dampaknya terhadap industri dan harga jual. Regulasi ini diharapkan dapat meningkatkan kesehatan publik.",Ekonomi & Kesehatan,2025-11-01 00:00:00,Pemerintah Bahas Pengenaan Cukai Minuman Berpemanis Dalam Kemasan (MBDK),perintah lalu menteri uang tengah bahas rencana kena cukai minum man kemas mbdk bijak tuju kendali konsumsi gula lebih masyarakat risiko picu sakit tular kaji timbang dampak industri harga jual regulasi harap tingkat sehat publik,9
107,Menteri PUPR Resmikan Jembatan Gantung Baru di Perbatasan Kalimantan,Menteri Pekerjaan Umum dan Perumahan Rakyat (PUPR) meresmikan sebuah jembatan gantung baru yang menghubungkan antar desa di kawasan perbatasan Kalimantan. Pembangunan jembatan ini krusial untuk membuka akses isolasi dan meningkatkan mobilitas ekonomi masyarakat. Jembatan gantung menjadi solusi cepat dan efektif untuk menghubungkan wilayah terpencil. Proyek ini merupakan bagian dari pemerataan infrastruktur.,Infrastruktur & Pembangunan,31 Oktober 2025,Menteri PUPR Resmikan Jembatan Gantung Baru di Perbatasan Kalimantan,menteri kerja umum rumah rakyat pupr resmi buah jembatan gantung baru hubung antar desa kawasan batas kalimantan bangun jembatan krusial buka akses isolasi tingkat mobilitas ekonomi masyarakat jembatan gantung jadi solusi cepat efektif hubung wilayah pencil proyek rupa bagi perata infrastruktur,2
108,KPK Selidiki Dugaan Korupsi Dana Haji di Kementerian Agama,Komisi Pemberantasan Korupsi (KPK) melakukan penyelidikan terhadap dugaan korupsi dalam pengelolaan dana haji di lingkungan Kementerian Agama (Kemenag). Penyelidikan ini berfokus pada potensi penyalahgunaan dana investasi dan operasional haji yang merugikan jemaah. KPK telah memanggil beberapa pejabat Kemenag untuk dimintai keterangan. Langkah ini menunjukkan komitmen KPK untuk membersihkan tata kelola haji.,Hukum & Korupsi,2025-11-02 00:00:00,KPK Selidiki Dugaan Korupsi Dana Haji di Kementerian Agama,komisi berantas korupsi kpk laku lidi duga korupsi kelola dana haji lingkung menteri agama kemenag lidi fokus potensi penyalahgunaan dana investasi operasional haji rugi jemaah kpk panggil beberapa jabat kemenag minta terang langkah tunjuk komitmen kpk bersih tata kelola haji,8
109,Menteri Haji Arab Saudi Puji Pelayanan Haji Indonesia 2025,"Menteri Haji dan Umrah Arab Saudi menyampaikan pujian atas peningkatan signifikan kualitas pelayanan yang diberikan oleh pemerintah Indonesia kepada jemaah haji pada musim haji 2025. Pujian ini mencakup efisiensi akomodasi, transportasi, dan sistem mitigasi risiko kesehatan. Peningkatan pelayanan ini merupakan hasil kerja keras Kemenag dan otoritas terkait. Indonesia berkomitmen terus meningkatkan kenyamanan jemaah.",Agama & Internasional,31 Oktober 2025,Menteri Haji Arab Saudi Puji Pelayanan Haji Indonesia 2025,menteri haji umrah arab saudi sampai puji atas tingkat signifikan kualitas layan beri perintah indonesia jemaah haji musim haji puji cakup efisiensi akomodasi transportasi sistem mitigasi risiko sehat tingkat layan rupa hasil kerja keras kemenag otoritas kait indonesia komitmen terus tingkat nyaman jemaah,1
110,BPS Catat Jumlah Kunjungan Wisman Naik 30% pada Kuartal III,Badan Pusat Statistik (BPS) mencatat adanya kenaikan jumlah kunjungan wisatawan mancanegara (wisman) sebesar 30% secara tahunan (yoy) pada kuartal III tahun 2025. Kenaikan ini didorong oleh pelonggaran pembatasan perjalanan dan promosi wisata yang masif. Peningkatan wisman memberikan dampak positif pada sektor pariwisata dan devisa negara. Target kunjungan wisman diproyeksikan akan tercapai.,Ekonomi & Pariwisata,30 Oktober 2025,BPS Catat Jumlah Kunjungan Wisman Naik 30% pada Kuartal III,badan pusat statistik bps catat ada naik jumlah kunjung wisatawan mancanegara wisman besar tahun yoy kuartal iii tahun naik dorong longgar batas jalan promosi wisata masif tingkat wisman beri dampak positif sektor pariwisata devisa negara target kunjung wisman proyeksi capai,1
111,Presiden Prabowo Pimpin Rakor Tingkatkan Kualitas Pendidikan Vokasi,Presiden Prabowo Subianto memimpin Rapat Koordinasi (Rakor) untuk meningkatkan kualitas dan relevansi pendidikan vokasi di Indonesia. Rakor ini fokus pada sinkronisasi kurikulum vokasi dengan kebutuhan industri. Presiden menekankan pentingnya lulusan vokasi yang siap kerja untuk mengurangi angka pengangguran. Pemerintah berkomitmen meningkatkan anggaran dan fasilitas untuk SMK dan Politeknik.,Politik & Pendidikan,31 Oktober 2025,Presiden Prabowo Pimpin Rakor Tingkatkan Kualitas Pendidikan Vokasi,presiden prabowo subianto pimpin rapat koordinasi rakor tingkat kualitas relevansi didik vokasi indonesia rakor fokus sinkronisasi kurikulum vokasi butuh industri presiden tekan penting lulus vokasi siap kerja kurang angka anggur perintah komitmen tingkat anggar fasilitas smk politeknik,1
112,Kemenhub Resmikan Integrasi Pelabuhan Penyeberangan di Danau Toba,"Kementerian Perhubungan (Kemenhub) meresmikan integrasi sistem dan fasilitas di beberapa pelabuhan penyeberangan di kawasan Danau Toba, Sumatera Utara. Integrasi ini bertujuan untuk meningkatkan konektivitas dan mendukung Danau Toba sebagai Destinasi Pariwisata Super Prioritas (DPSP). Kemenhub berharap integrasi ini dapat mempermudah wisatawan dan meningkatkan efisiensi angkutan logistik.",Infrastruktur & Pariwisata,2025-11-02 00:00:00,Kemenhub Resmikan Integrasi Pelabuhan Penyeberangan di Danau Toba,menteri hubung kemenhub resmi integrasi sistem fasilitas beberapa labuh seberang kawasan danau toba sumatera utara integrasi tuju tingkat konektivitas dukung danau toba destinasi pariwisata super prioritas dpsp kemenhub harap integrasi mudah wisatawan tingkat efisiensi angkut logistik,0
113,Polri Sita Aset Mencapai Triliunan Rupiah dari Kasus Robot Trading,Direktorat Tindak Pidana Ekonomi Khusus (Dittipideksus) Polri menyita aset senilai triliunan rupiah dari sindikat investasi bodong robot trading. Penyitaan ini merupakan bagian dari upaya pemulihan kerugian korban. Polri terus berkoordinasi dengan Kejaksaan untuk proses lelang aset dan pengembalian dana kepada korban. Masyarakat diimbau selalu waspada terhadap investasi ilegal.,Hukum & Kriminal,2025-11-01 00:00:00,Polri Sita Aset Triliunan Rupiah dari Kasus Robot Trading,direktorat tindak pidana ekonomi khusus dittipideksus polri sita aset nila triliun rupiah sindikat investasi bodong robot trading sita rupa bagi upaya pulih rugi korban polri terus koordinasi jaksa proses lelang aset kembali dana korban masyarakat imbau selalu waspada investasi ilegal,4
114,Pemerintah Kaji Opsi Kenaikan Gaji Pokok PNS pada 2026,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (KemenPAN-RB) tengah mengkaji opsi kenaikan gaji pokok bagi Pegawai Negeri Sipil (PNS) yang direncanakan berlaku pada 2026. Kajian ini mempertimbangkan inflasi dan peningkatan beban kerja ASN. Kenaikan gaji diharapkan dapat meningkatkan kesejahteraan dan motivasi PNS dalam memberikan pelayanan publik. Keputusan final akan disinkronkan dengan RAPBN 2026.,Pemerintahan & Ekonomi,31 Oktober 2025,Pemerintah Kaji Opsi Kenaikan Gaji Pokok PNS pada 2026,menteri pendayagunaan aparatur negara reformasi birokrasi kemenpan tengah kaji opsi naik gaji pokok pegawai negeri sipil pns rencana laku kaji timbang inflasi tingkat beban kerja asn naik gaji harap tingkat sejahtera motivasi pns beri layan publik putus final sinkron rapbn,3
115,Menkes Ungkap Indonesia Masih Kekurangan 30.000 Dokter Spesialis,Menteri Kesehatan (Menkes) mengungkapkan bahwa Indonesia masih menghadapi kekurangan sekitar 30.000 dokter spesialis di seluruh wilayah. Menkes berkomitmen mempercepat produksi dokter spesialis melalui kolaborasi dengan universitas dan rumah sakit. Program beasiswa dan penempatan di daerah terpencil menjadi fokus utama. Kekurangan tenaga medis menjadi tantangan besar dalam pemerataan layanan kesehatan.,Kesehatan & Pendidikan,2025-11-02 00:00:00,Menkes: Indonesia Masih Kekurangan 30.000 Dokter Spesialis,menteri sehat menkes ungkap indonesia hadap kurang dokter spesialis seluruh wilayah menkes komitmen cepat produksi dokter spesialis lalu kolaborasi universitas rumah sakit program beasiswa tempat daerah pencil jadi fokus utama kurang tenaga medis jadi tantang besar perata layan sehat,7
116,Kepala BNPT Ingatkan Potensi Serangan Siber Jelang Pemilu 2029,"Kepala Badan Nasional Penanggulangan Terorisme (BNPT) mengingatkan adanya potensi serangan siber dari kelompok ekstremis yang dapat menargetkan infrastruktur digital negara, terutama menjelang Pemilu 2029. BNPT terus berkoordinasi dengan BSSN dan lembaga terkait untuk memperkuat sistem keamanan siber. Kewaspadaan masyarakat terhadap propaganda digital dan informasi palsu juga ditekankan.",Keamanan & Teknologi,30 Oktober 2025,Kepala BNPT Ingatkan Potensi Serangan Siber Jelang Pemilu 2029,kepala badan nasional tanggulang terorisme bnpt ingat ada potensi serang siber kelompok ekstremis target infrastruktur digital negara utama jelang milu bnpt terus koordinasi bssn lembaga kait kuat sistem aman siber waspada masyarakat propaganda digital informasi palsu tekan,6
117,Pemerintah Siapkan Skema Subsidi Motor Listrik untuk Masyarakat Menengah Bawah,Pemerintah sedang mematangkan skema pemberian subsidi untuk pembelian motor listrik yang secara khusus menargetkan masyarakat menengah ke bawah. Subsidi ini bertujuan untuk mempercepat transisi energi dan mengurangi polusi udara. Skema subsidi akan disesuaikan agar tepat sasaran dan tidak menimbulkan penyalahgunaan. Kebijakan ini merupakan bagian dari upaya Indonesia mencapai Net Zero Emission.,Ekonomi & Energi,2025-11-01 00:00:00,Pemerintah Siapkan Skema Subsidi Motor Listrik untuk Masyarakat Menengah Bawah,perintah sedang matang skema beri subsidi beli motor listrik khusus target masyarakat tengah bawah subsidi tuju cepat transisi energi kurang polusi udara skema subsidi sesuai tepat sasar timbul penyalahgunaan bijak rupa bagi upaya indonesia capai net zero emission,3
118,Presiden Jokowi: Komitmen Indonesia Terhadap Palestina Tidak Pernah Berubah,Presiden Joko Widodo menegaskan kembali komitmen teguh Indonesia terhadap perjuangan kemerdekaan Palestina yang tidak akan pernah berubah. Penegasan ini disampaikan dalam sebuah pertemuan diplomatik dengan utusan PBB. Indonesia terus mendorong solusi dua negara dan bantuan kemanusiaan. Sikap Indonesia konsisten dalam mendukung perdamaian global dan keadilan.,Politik & Internasional,30 Oktober 2025,Presiden Jokowi: Komitmen Indonesia Terhadap Palestina Tidak Pernah Berubah,presiden joko widodo tegas komitmen teguh indonesia juang merdeka palestina pernah ubah tegas sampai buah temu diplomatik utus pbb indonesia terus dorong solusi negara bantu manusia sikap indonesia konsisten dukung damai global adil,1
119,Polisi Bongkar Pabrik Kosmetik Ilegal di Tangerang,Polda Metro Jaya berhasil membongkar sebuah pabrik rumahan yang memproduksi kosmetik ilegal tanpa izin BPOM di kawasan Tangerang. Produk kosmetik tersebut diduga mengandung bahan berbahaya yang dapat merusak kesehatan kulit. Pemilik pabrik telah ditangkap dan dijerat undang-undang kesehatan dan perlindungan konsumen. Konsumen diimbau untuk selalu memeriksa izin BPOM sebelum membeli produk.,Hukum & Kesehatan,31 Oktober 2025,Polda Metro Bongkar Pabrik Kosmetik Ilegal di Tangerang,polda metro jaya hasil bongkar buah pabrik rumah produksi kosmetik ilegal izin bpom kawasan tangerang produk kosmetik sebut duga kandung bahan bahaya rusak sehat kulit milik pabrik tangkap jerat undang undang sehat lindung konsumen konsumen imbau selalu periksa izin bpom beli produk,4
120,Menparekraf Dorong Pengembangan Wisata Heritage Kota Tua Jakarta,Menteri Pariwisata dan Ekonomi Kreatif (Menparekraf) mendorong revitalisasi dan pengembangan wisata heritage di kawasan Kota Tua Jakarta. Kawasan ini memiliki potensi besar sebagai destinasi wisata sejarah dan budaya kelas dunia. Kemenparekraf akan mendukung penataan infrastruktur dan promosi global. Kolaborasi dengan pihak swasta dan komunitas lokal menjadi kunci pengembangan.,Pariwisata & Budaya,2025-11-01 00:00:00,Menparekraf Dorong Pengembangan Wisata Heritage Kota Tua Jakarta,menteri pariwisata ekonomi kreatif menparekraf dorong revitalisasi kembang wisata heritage kawasan kota tua jakarta kawasan milik potensi besar destinasi wisata sejarah budaya kelas dunia kemenparekraf dukung tata infrastruktur promosi global kolaborasi pihak swasta komunitas lokal jadi kunci kembang,2
121,"Bahlil Bawa Pengusaha Lokal ke KTT APEC, Tingkatkan Peluang Bisnis",Menteri Investasi/Kepala BKPM Bahlil Lahadalia turut serta membawa delegasi pengusaha lokal Indonesia dalam kunjungan ke KTT APEC di Korea Selatan. Langkah ini bertujuan untuk memfasilitasi pengusaha daerah agar dapat menjalin jejaring dan mendapatkan peluang bisnis baru di pasar internasional. Bahlil berharap partisipasi ini dapat meningkatkan investasi asing dan ekspor Indonesia. Strategi ini penting untuk mendorong investasi di daerah.,Ekonomi & Internasional,2025-11-02 00:00:00,"Bahlil Bawa Pengusaha Lokal ke KTT APEC, Tingkatkan Peluang Bisnis",menteri investasi kepala bkpm bahlil lahadalia turut bawa delegasi usaha lokal indonesia kunjung ktt apec korea selatan langkah tuju fasilitas usaha daerah jalin jejaring dapat peluang bisnis baru pasar internasional bahlil harap partisipasi tingkat investasi asing ekspor indonesia strategi penting dorong investasi daerah,1
122,KPK Panggil Auditor BPK Terkait Dugaan Suap Proyek Daerah,Komisi Pemberantasan Korupsi (KPK) memanggil seorang auditor dari Badan Pemeriksa Keuangan (BPK) sebagai saksi dalam kasus dugaan suap terkait pengadaan proyek di salah satu pemerintah daerah (Pemda). Pemanggilan ini menguatkan dugaan adanya praktik korupsi yang melibatkan auditor negara. KPK berkomitmen membersihkan praktik suap di lembaga pengawasan. Kasus ini menjadi sorotan penting.,Hukum & Korupsi,31 Oktober 2025,KPK Panggil Auditor BPK Terkait Dugaan Suap Proyek Daerah,komisi berantas korupsi kpk panggil orang auditor badan periksa uang bpk saksi kasus duga suap kait ada proyek salah satu perintah daerah pemda panggil kuat duga ada praktik korupsi libat auditor negara kpk komitmen bersih praktik suap lembaga awas kasus jadi sorot penting,8
123,Kemenperin Dorong Hilirisasi Industri Nikel Menjadi Baterai Kendaraan Listrik,"Kementerian Perindustrian (Kemenperin) terus mendorong program hilirisasi industri nikel, dari bahan mentah menjadi komponen baterai kendaraan listrik. Program ini bertujuan meningkatkan nilai tambah komoditas nikel Indonesia di pasar global. Kemenperin menawarkan insentif investasi untuk menarik investor asing di sektor manufaktur baterai. Hilirisasi menjadi kunci pertumbuhan industri masa depan.",Ekonomi & Energi,29 Oktober 2025,Kemenperin Dorong Hilirisasi Industri Nikel Menjadi Baterai Kendaraan Listrik,menteri industri kemenperin terus dorong program hilir industri nikel bahan mentah jadi komponen baterai kendara listrik program tuju tingkat nilai tambah komoditas nikel indonesia pasar global kemenperin tawar insentif investasi tarik investor asing sektor manufaktur baterai hilir jadi kunci tumbuh industri masa depan,9
124,Ketua DPR RI Minta Pemerintah Perketat Pengawasan Dana Desa,"Ketua DPR RI meminta pemerintah pusat, khususnya Kementerian Desa dan Kemendagri, untuk memperketat pengawasan terhadap penggunaan Dana Desa. Permintaan ini muncul untuk mencegah penyalahgunaan dan memastikan dana desa efektif untuk pembangunan. Pengawasan harus melibatkan masyarakat dan aparat penegak hukum. Dana desa yang tepat sasaran krusial untuk pemerataan pembangunan di desa.",Politik & Pemerintahan,2025-11-01 00:00:00,Ketua DPR Minta Pemerintah Perketat Pengawasan Dana Desa,ketua dpr minta perintah pusat khusus menteri desa kemendagri ketat awas guna dana desa minta muncul cegah penyalahgunaan pasti dana desa efektif bangun awas libat masyarakat aparat tegak hukum dana desa tepat sasar krusial perata bangun desa,2
125,Pemerintah Luncurkan Program Food Estate Berbasis Digital di Merauke,"Pemerintah meluncurkan program Food Estate (Lumbung Pangan) yang terintegrasi dengan teknologi digital di Merauke, Papua Selatan. Pemanfaatan teknologi seperti drone dan AI diharapkan dapat meningkatkan efisiensi dan hasil panen. Program ini bertujuan mencapai ketahanan pangan nasional dan meningkatkan kesejahteraan petani lokal. Food Estate menjadi proyek strategis sektor pertanian.",Ekonomi & Teknologi,30 Oktober 2025,Pemerintah Luncurkan Program Food Estate Berbasis Digital di Merauke,perintah luncur program food estate lumbung pangan integrasi teknologi digital merauke papua selatan manfaat teknologi drone harap tingkat efisiensi hasil panen program tuju capai tahan pangan nasional tingkat sejahtera tani lokal food estate jadi proyek strategis sektor tani,7
126,Menkominfo Komitmen Berantas Judi Online dan Konten Ilegal,Menteri Komunikasi dan Informatika (Menkominfo) kembali menegaskan komitmennya untuk memberantas praktik judi online dan konten-konten ilegal di ruang digital Indonesia. Menkominfo akan bekerja sama dengan Polri dan Internet Service Provider (ISP) untuk memblokir situs dan aplikasi yang melanggar hukum. Edukasi publik mengenai bahaya judi online juga terus ditingkatkan.,Hukum & Teknologi,2025-11-02 00:00:00,Menkominfo Komitmen Berantas Judi Online dan Konten Ilegal,menteri komunikasi informatika menkominfo tegas komitmen berantas praktik judi online konten konten ilegal ruang digital indonesia menkominfo kerja sama polri internet service provider isp blokir situs aplikasi langgar hukum edukasi publik kena bahaya judi online terus tingkat,2
127,Pemerintah Siapkan Insentif Pajak Bagi Investor Pembangun Hunian di IKN,"Pemerintah sedang menyiapkan berbagai insentif fiskal, termasuk insentif pajak, bagi investor swasta yang berinvestasi dalam pembangunan hunian di Ibu Kota Nusantara (IKN). Insentif ini bertujuan mempercepat pembangunan infrastruktur perumahan untuk ASN dan masyarakat umum. Menkeu menjamin kepastian regulasi untuk menarik investasi. IKN ditargetkan mulai dihuni secara bertahap tahun depan.",Ekonomi & Pemerintahan,30 Oktober 2025,Pemerintah Siapkan Insentif Pajak Bagi Investor Pembangun Hunian di IKN,perintah sedang siap bagai insentif fiskal masuk insentif pajak investor swasta investasi bangun huni ibu kota nusantara ikn insentif tuju cepat bangun infrastruktur rumah asn masyarakat umum menkeu jamin pasti regulasi tarik investasi ikn target mulai huni tahap tahun depan,3
128,Polisi Tangkap 4 Pelaku Penipuan Modus QRIS Palsu di Tempat Ibadah,"Polisi berhasil menangkap empat pelaku sindikat penipuan dengan modus menempelkan stiker QRIS palsu di kotak amal tempat ibadah, seperti masjid dan gereja. Pelaku mengalihkan dana donasi ke rekening pribadi mereka. Polisi menyita barang bukti stiker QRIS palsu dan perangkat elektronik. Penangkapan ini merupakan peringatan bagi masyarakat untuk berhati-hati dalam berdonasi.",Hukum & Kriminal,2025-11-01 00:00:00,Polisi Tangkap 4 Pelaku Penipuan Modus QRIS Palsu di Tempat Ibadah,polisi hasil tangkap empat laku sindikat tipu modus tempel stiker qris palsu kotak amal tempat ibadah masjid gereja laku alih dana donasi rekening pribadi polisi sita barang bukti stiker qris palsu perangkat elektronik tangkap rupa ingat masyarakat hati hati donasi,4
129,Menko Kemaritiman Soroti Kerusakan Terumbu Karang Akibat Praktik Destruktif,Menteri Koordinator Bidang Kemaritiman dan Investasi menyoroti maraknya praktik penangkapan ikan yang destruktif dan menyebabkan kerusakan parah pada terumbu karang di beberapa wilayah. Menko Marves meminta penegakan hukum yang lebih ketat terhadap pelaku illegal fishing dan perusakan lingkungan laut. Program restorasi terumbu karang menjadi prioritas pemerintah. Pelestarian laut penting untuk keberlanjutan sektor perikanan.,Lingkungan & Kelautan,31 Oktober 2025,Menko Marves Soroti Kerusakan Terumbu Karang Akibat Praktik Destruktif,menteri koordinator bidang maritim investasi sorot marak praktik tangkap ikan destruktif sebab rusa parah terumbu karang beberapa wilayah menko marves minta tega hukum lebih ketat laku illegal fishing rusa lingkung laut program restorasi terumbu karang jadi prioritas perintah lestari laut penting lanjut sektor ikan,0
130,Wapres Tekankan Perlunya Regulasi Ketat untuk Impor Barang Modal Bekas,Wakil Presiden menekankan perlunya regulasi yang lebih ketat dan selektif terhadap impor barang modal bekas. Kebijakan ini bertujuan untuk melindungi industri manufaktur dalam negeri dan mencegah masuknya barang-barang yang tidak layak pakai. Wapres meminta kementerian terkait segera menyusun aturan turunan yang jelas dan tegas. Regulasi impor menjadi kunci untuk mendorong industri nasional.,Ekonomi & Regulasi,29 Oktober 2025,Wapres Tekankan Perlunya Regulasi Ketat untuk Impor Barang Modal Bekas,wakil presiden tekan perlu regulasi lebih ketat selektif impor barang modal bekas bijak tuju lindung industri manufaktur negeri cegah masuk barang barang layak pakai wapres minta menteri kait segera susun atur turun jelas tegas regulasi impor jadi kunci dorong industri nasional,9
